1 on 1 Phlebotomy,totalScore,reviewsCount,street,city,regions serviced,state,countryCode,website,phone,categoryName,url
1st choice mobile phlebotomy,4.5,26,1165 Commons Dr,Dothan,,Alabama,US,http://lifesouth.org/,(334) 792-9977,Blood donation center,https://www.google.com/maps/search/?api=1&query=Lifesouth%20Community%20Blood%20Center&query_place_id=ChIJaVleuDmSkogRROTfi_bFY4c
360 Mobile Labs,4.3,17,1004 Montezuma Ave,Dothan,,Alabama,US,http://www.redcross.org/alabama/about/chapters/wiregrass,(334) 792-9852,Social services organization,https://www.google.com/maps/search/?api=1&query=American%20Red%20Cross&query_place_id=ChIJ7wJ9SEOSkogR6sZp2DMF6BU
5t's Mobile Collection Lab,3.1,34,1034 Ross Clark Cir,Dothan,,Alabama,US,https://locations.labcorp.com/al/dothan/2135/,(334) 792-0902,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJxxCKWnmTkogRyseyOU-DGwI
603 Mobile Phlebotomy Services,3,3,105 Main St,Livingston,,Alabama,US,http://universalmts.com/,(877) 919-8077,Training center,https://www.google.com/maps/search/?api=1&query=Universal%20Medical%20Training%20Services&query_place_id=ChIJCY5IUehMhIgREMa4ZxZFyWE
A & N Medical Mobile phlebotomy Services,4.8,2077,101 Memorial Hospital Dr,Mobile,,Alabama,US,http://www.alabamamedicalgroup.com/,(251) 414-5900,Medical clinic,https://www.google.com/maps/search/?api=1&query=Alabama%20Medical%20Group%2C%20P.C.&query_place_id=ChIJO-TlDndNmogRkFIjBEXlYtk
A Gentle Touch Inc,3.6,10,4321 Midmost Dr Suite C,Mobile,,Alabama,US,http://www.aohealthcareers.com/,(251) 725-1946,Educational institution,https://www.google.com/maps/search/?api=1&query=A%26O%20Healthcare%20Institute%2C%20Inc.&query_place_id=ChIJy5wT92hNmogRf1vjfs-4ikQ
A&M Labs & Wellness & Mobile Services,5,6,1111 E Interstate 65 Service Rd S Suite 104,Mobile,,Alabama,US,http://www.genesistestingsolutionsllc.com/,(251) 206-5696,Drug testing service,https://www.google.com/maps/search/?api=1&query=Genesis%20Testing%20Solutions%2C%20LLC&query_place_id=ChIJL7dFrMlLmogRl0qmmy8AxwQ
"A&O Healthcare Institute, Inc.",5,1,2675 Government Blvd,Mobile,,Alabama,US,http://www.pathwayci.com/,(251) 307-1722,Education center,https://www.google.com/maps/search/?api=1&query=Pathway%20Clinical%20Institute&query_place_id=ChIJHxe8jsZNmogRj5I_62Y6XgE
A-1 Screenings/mobile services,3.4,28,1515 S University Blvd,Mobile,,Alabama,US,http://www.saadhealthcare.com/,(251) 343-2990,Medical supply store,https://www.google.com/maps/search/?api=1&query=Saad%20Medical%20Equipment&query_place_id=ChIJH8sP7i5NmogRIqEaGq8Ifp8
ABOLabs LLC,4.4,18,3100 Cottage Hill Rd bldg 2 ste 200,Mobile,,Alabama,US,http://www.victoryprofessional.org/,(251) 222-0866,Training center,https://www.google.com/maps/search/?api=1&query=Victory%20Professional%20Development%20Center&query_place_id=ChIJDUpg4hJNmogRV6_D2EKhxtg
