title,totalScore,reviewsCount,street,city,regions serviced,state,countryCode,website,phone,categoryName,url
Alaska Mobile Laboratory,4.5,4,"Mile Post 1314, Alaska Hwy #5",Tok,,Alaska,US,,(907) 883-4446,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Alaska%20Mobile%20Laboratory&query_place_id=ChIJy15-r6eJSlERKLCpyxRZ8sY
Professional Phlebotomy Services,5,13,2108 Gateway Dr Ste E,Opelika,,Alabama,US,https://www.mobile-pps.com/,(334) 502-0023,Blood testing service,https://www.google.com/maps/search/?api=1&query=Professional%20Phlebotomy%20Services&query_place_id=ChIJe2TeCgTzjIgRMpNrEmXJMmE
"A&O Healthcare Institute, Inc.",3.6,10,4321 Midmost Dr Suite C,Mobile,,Alabama,US,http://www.aohealthcareers.com/,(251) 725-1946,Educational institution,https://www.google.com/maps/search/?api=1&query=A%26O%20Healthcare%20Institute%2C%20Inc.&query_place_id=ChIJy5wT92hNmogRf1vjfs-4ikQ
T&G Medical Mobile Lab and Drug Screen LLC,5,195,3738 Opelika Rd B,Phenix City,,Alabama,US,https://tgmedicallab.com/,(706) 225-9384,Medical laboratory,https://www.google.com/maps/search/?api=1&query=T%26G%20Medical%20Mobile%20Lab%20and%20Drug%20Screen%20LLC&query_place_id=ChIJje08QgDPjIgRWJFzf8AAbeQ
Universal Medical Training Services,3,3,105 Main St,Livingston,,Alabama,US,http://universalmts.com/,(877) 919-8077,Training center,https://www.google.com/maps/search/?api=1&query=Universal%20Medical%20Training%20Services&query_place_id=ChIJCY5IUehMhIgREMa4ZxZFyWE
Saad Healthcare,4.4,149,1515 S University Blvd,Mobile,,Alabama,US,https://saadhealthcare.com/,(251) 343-9600,Home health care service,https://www.google.com/maps/search/?api=1&query=Saad%20Healthcare&query_place_id=ChIJp43r6y5NmogRCHtTVL6_O38
"Alabama Medical Group, P.C.",4.8,2077,101 Memorial Hospital Dr,Mobile,,Alabama,US,http://www.alabamamedicalgroup.com/,(251) 414-5900,Medical clinic,https://www.google.com/maps/search/?api=1&query=Alabama%20Medical%20Group%2C%20P.C.&query_place_id=ChIJO-TlDndNmogRkFIjBEXlYtk
Pathway Clinical Institute,5,1,2675 Government Blvd,Mobile,,Alabama,US,http://www.pathwayci.com/,(251) 307-1722,Education center,https://www.google.com/maps/search/?api=1&query=Pathway%20Clinical%20Institute&query_place_id=ChIJHxe8jsZNmogRj5I_62Y6XgE
Synergy Laboratories,4.5,26,5570 Rangeline Rd,Mobile,,Alabama,US,https://www.synergylaboratories.com/,(251) 662-9760,Laboratory,https://www.google.com/maps/search/?api=1&query=Synergy%20Laboratories&query_place_id=ChIJtTmm4FlLmogRCb7PE_LzzO0
Sage Health,5,1,2318 St Stephens Rd,Mobile,,Alabama,US,https://sage.health/markets/mobile-al/,(251) 308-5689,Medical clinic,https://www.google.com/maps/search/?api=1&query=Sage%20Health&query_place_id=ChIJp4eHYDtRmogR6IUHDJvs5sQ
Lifesouth Community Blood Center,4.5,26,1165 Commons Dr,Dothan,,Alabama,US,http://lifesouth.org/,(334) 792-9977,Blood donation center,https://www.google.com/maps/search/?api=1&query=Lifesouth%20Community%20Blood%20Center&query_place_id=ChIJaVleuDmSkogRROTfi_bFY4c
"Genesis Testing Solutions, LLC",5,6,1111 E Interstate 65 Service Rd S Suite 104,Mobile,,Alabama,US,http://www.genesistestingsolutionsllc.com/,(251) 206-5696,Drug testing service,https://www.google.com/maps/search/?api=1&query=Genesis%20Testing%20Solutions%2C%20LLC&query_place_id=ChIJL7dFrMlLmogRl0qmmy8AxwQ
American Red Cross,4.3,17,1004 Montezuma Ave,Dothan,,Alabama,US,http://www.redcross.org/alabama/about/chapters/wiregrass,(334) 792-9852,Social services organization,https://www.google.com/maps/search/?api=1&query=American%20Red%20Cross&query_place_id=ChIJ7wJ9SEOSkogR6sZp2DMF6BU
Bishop State Community College,3.7,80,351 N Broad St,Mobile,,Alabama,US,https://www.bishop.edu/,(251) 405-7000,Community college,https://www.google.com/maps/search/?api=1&query=Bishop%20State%20Community%20College&query_place_id=ChIJXbYjeylOmogRf65K0tb-dog
