name,totalScore,reviewsCount,street,regions serviced,city,state,countryCode,website,phone,categoryName,url,is_mobile_phlebotomy,is_nationwide,verified_service_areas,validation_notes,logo,profileImage,businessImages,bio,foundedYear,teamSize,yearsExperience,zipCodes,serviceRadius,travelFee,googlePlaceId,testimonials,certifications,licenseNumber,insuranceAmount,specialties,emergencyAvailable,weekendAvailable,email,contactPerson,languages
Professional Phlebotomy Services,5.0,13.0,2108 Gateway Dr Ste E,"Opelika, Alabama area",Opelika,Alabama,US,https://www.mobile-pps.com/,(334) 502-0023,Blood testing service,https://www.google.com/maps/search/?api=1&query=Professional%20Phlebotomy%20Services&query_place_id=ChIJe2TeCgTzjIgRMpNrEmXJMmE,Yes,No,Alabama (statewide),"Mobile phlebotomy service operating throughout Alabama. Offers blood collections, specialty kits, paternity collections. Starting at $50.",https://www.mobile-pps.com/wp-content/uploads/2023/07/mobile-pps-logo-horiz.png,,,"Welcome To   Professional Phlebotomy Services  We’re here to make getting lab work an easy and convenient experience, whether you’re home bound or simply a busy working professional. Highly recommend her services!  – Tristan          I had to have blood work done and Chelmense was very sweet, fast professional and personal.",,,,,,,ChIJe2TeCgTzjIgRMpNrEmXJMmE,,CERTIFIED,,$50 ,,True,False,info@mobile-pps.com,,English
T&G Medical Mobile Lab and Drug Screen LLC,5.0,195.0,3738 Opelika Rd B,"Phenix City, Alabama area",Phenix City,Alabama,US,https://tgmedicallab.com/,(706) 225-9384,Medical laboratory,https://www.google.com/maps/search/?api=1&query=T%26G%20Medical%20Mobile%20Lab%20and%20Drug%20Screen%20LLC&query_place_id=ChIJje08QgDPjIgRWJFzf8AAbeQ,Yes,No,Alabama and Georgia,"Mobile lab and drug screening service. Offers phlebotomy, drug testing, DNA testing, fingerprinting. Has drive-thru testing. Serves AL and GA regions.",,,,"T&G Medical Mobile Lab And Drug Screen LLC | Mobile lab                   top of page Home About Paramed Insurance Exam Mobile Collection Services Business On Site Collection More Use tab to navigate through the menu items. Schedule       Safe and Convenient Medical Mobile Lab and Drug Screening Welcome to T&G Medical Mobile Lab And Drug Screen, your trusted partner in convenient and reliable medical lab and drug screening services.",,,,36870,,,ChIJje08QgDPjIgRWJFzf8AAbeQ,,ASCP Certified,,,,True,False,,,English
Universal Medical Training Services,3.0,3.0,105 Main St,"Livingston, Alabama area",Livingston,Alabama,US,http://universalmts.com/,(877) 919-8077,Training center,https://www.google.com/maps/search/?api=1&query=Universal%20Medical%20Training%20Services&query_place_id=ChIJCY5IUehMhIgREMa4ZxZFyWE,Yes,No,Alabama,"Training center that also provides mobile phlebotomy services. Offers certification programs and mobile services for homes, facilities, businesses in Alabama.",,,,"Armed Forces)                              Home | Services | Registration | UMTS CE | UMTS Newsletter | Contact Us        Universal Medical Training Services       Livingston , AL  35470            Toll Free:  (877) 919-8077                       Copyright © 2013  Web Site Design by Web.",,,20.0,35470,,,ChIJCY5IUehMhIgREMa4ZxZFyWE,,CERTIFIED,,,"Corporate,Nursing Homes",False,False,,,English
Pathway Clinical Institute,5.0,1.0,2675 Government Blvd,"Mobile, Alabama area",Mobile,Alabama,US,http://www.pathwayci.com/,(251) 307-1722,Education center,https://www.google.com/maps/search/?api=1&query=Pathway%20Clinical%20Institute&query_place_id=ChIJHxe8jsZNmogRj5I_62Y6XgE,No,No,"Mobile, Alabama","Education center/clinical institute, not a mobile phlebotomy service",,,,"Pathway Clinical Institute              PCI PCI PCI PCI PCI PCI PCI PCI Revealing pathways to Success Revealing pathways to Success Revealing pathways to Success Revealing pathways to Success Now offering CNA Training Contact Us   About Us Qualified Educators We are licensed by Alabama Community College System (ACCS) Who We Are Pathway Clinical Institute, LLC was established in 2020 with a mission to be the school of choice for providing high-quality education and advanced skills training for motivated students seeking certification in the healthcare field. Mission Statement At Pathway Clinical Institute, LLC.",2020.0,,,36606,,,ChIJHxe8jsZNmogRj5I_62Y6XgE,,CERTIFIED,,,,True,False,Info@pathwayci.com,,English
Synergy Laboratories,4.5,26.0,5570 Rangeline Rd,"Mobile, Alabama area",Mobile,Alabama,US,https://www.synergylaboratories.com/,(251) 662-9760,Laboratory,https://www.google.com/maps/search/?api=1&query=Synergy%20Laboratories&query_place_id=ChIJtTmm4FlLmogRCb7PE_LzzO0,No,No,"Mobile, Alabama","Fixed laboratory location, not a mobile phlebotomy service","https://static.wixstatic.com/media/78c8b8_b71b16abd6cc449ba6018a16c8068c89~mv2.png/v1/fill/w_336,h_83,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ColaNewLogoMainLogo.png","https://static.wixstatic.com/media/78c8b8_b71b16abd6cc449ba6018a16c8068c89~mv2.png/v1/fill/w_336,h_83,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ColaNewLogoMainLogo.png",,"HOME | Synergy Laboratories             top of page                           ABOUT SYNERGY OUR TEAM CAREERS WHAT WE CARE ABOUT LAB SERVICES CLINICAL TESTING COVID-19 MICROBIOLOGY MOLECULAR PCR NEXT-GEN SEQUENCING PATHOLOGY TOXICOLOGY TEST DIRECTORY CONTACT US CLIENT CLIENT PORTAL SUPPLY ORDERS NEW ACCOUNT NEW PHYSICIAN iLAB PORTAL CLIENT BILLING SCHEDULE PICKUP EHR REQUEST COVERAGE GUIDANCE NEWS More Use tab to navigate through the menu items. STATE-OF-THE-ART CLIA, COLA LICENSED AND CAP CERTIFIED LABORATORY Lab Services          ""Synergy has offered every test that I can use in a traditional family medicine practice.",,,,,,,ChIJtTmm4FlLmogRCb7PE_LzzO0,,CERTIFIED,,,,False,False,,,English
Sage Health,5.0,1.0,2318 St Stephens Rd,"Mobile, Alabama area",Mobile,Alabama,US,https://sage.health/markets/mobile-al/,(251) 308-5689,Medical clinic,https://www.google.com/maps/search/?api=1&query=Sage%20Health&query_place_id=ChIJp4eHYDtRmogR6IUHDJvs5sQ,No,Yes,Multiple states,"Medical clinic chain with multiple locations, not mobile phlebotomy",https://sage.health/wp-content/uploads/Sage-Health-Logo-RGB-Horizontal.svg,,,"Primary Care Providers & Doctors in Mobile, AL | Sage Health                                                                        Skip to content                          About Us Our Services Primary Care Cardiology Nutritionist Fitness Class Acupuncture Close Locations Baltimore, MD Gulfport, MS Little Rock, AR Mobile, AL Montgomery, AL Close News News The Sage Leaf Close Careers Patient Login Call Us                  Become a New Patient          Become a Patient        (866) 315-2626                                      Baltimore, MD        Halethorpe      (443) 543-9914       Waverly      (443) 290-6514       Woodlawn      (443) 380-0552                                 Gulfport, MS        Gulfport      (228) 678-2459                                      Little Rock, AR        Bryant      (501) 746-0818       Little Rock      (501) 255-2482       North Little Rock      (501) 235-8295                                      Mobile, AL        Midtown      (251) 800-9294       Pinebrook      (251) 214-0908       Toulminville      (251) 308-5689                                      Montgomery, AL        Carter Hill Road      (334) 694-2262                 Close Close               Patient Login              Call Us                      Become a New Patient          Become a Patient        (866) 315-2626                                      Baltimore, MD        Halethorpe      (443) 543-9914       Waverly      (443) 290-6514       Woodlawn      (443) 380-0552                                 Gulfport, MS        Gulfport      (228) 678-2459                                      Little Rock, AR        Bryant      (501) 746-0818       Little Rock      (501) 255-2482       North Little Rock      (501) 235-8295                                      Mobile, AL        Midtown      (251) 800-9294       Pinebrook      (251) 214-0908       Toulminville      (251) 308-5689                                      Montgomery, AL        Carter Hill Road      (334) 694-2262                                               Primary Care Doctors in Mobile, AL        Sage Health offers three convenient locations in the Mobile area. Number Of Shops : 0            ×  Store Direction              GET DIRECTIONS  ×    From:     To:      Km   Miles    GET DIRECTIONS           Use my location to find the closest Service Provider near me  ×    USE LOCATION             Description  ×                                   Primary Care Services in Mobile, AL             Healthcare         Primary care physicians  Cardiology team  Suite of diagnostics and treatments  Hospital coverage  Multi-disciplinary programs for chronic conditions            Wellness         Nutritionist  Fitness classes  Acupuncture/acupressure therapist  Social activities            Care Concierge         Dedicated concierge line  Same-day telehealth and urgent care  Home visits  Member experience coordinators  Door-to-door transportation to our centers  Scheduling assistance              Primary Care Providers & Doctors in Mobile,  At Sage Health, we offer high-quality care through our primary care providers in Mobile, AL, designed specifically for seniors and older adults who are eligible for Medicare.",,,,,,,ChIJp4eHYDtRmogR6IUHDJvs5sQ,,ASCP Certified,,,Home Visits,True,False,,,English
"Genesis Testing Solutions, LLC",5.0,6.0,1111 E Interstate 65 Service Rd S Suite 104,"Mobile, Alabama area",Mobile,Alabama,US,http://www.genesistestingsolutionsllc.com/,(251) 206-5696,Drug testing service,https://www.google.com/maps/search/?api=1&query=Genesis%20Testing%20Solutions%2C%20LLC&query_place_id=ChIJL7dFrMlLmogRl0qmmy8AxwQ,Yes,No,"Mobile, Alabama area","Drug testing service that offers mobile testing services in Mobile, AL area",,,,Drug Testing | Genesis Testing Solutions Llc | Mobile              top of page Home Welcome Services Policy Book Now More Use tab to navigate through the menu items. Genesis Testing Solutions Book Your Service Today!      Our Services Service Information 5 Panel Urine Drug Test 45 min 65 US dollars $65 Book Now Skin 45 min 175 US dollars $175 Book Now Nutrition 45 min 225 US dollars $225 Book Now Family and Origin 1 hr 199 US dollars $199 Book Now DNA Legal Testing 45 min 399 US dollars $399 Book Now DNA Informational 45 min 250 US dollars $250 Book Now Livescan Fingerprint 30 min Available on site Available on site Book Now Non DOT Breath 30 min 45 US dollars $45 Book Now Notary 30 min starting at $10 starting at $10 Book Now POLICY STATEMENT HIPAA INFORMATION  Health Insurance Portability and Accountability Act Our goal is to protect the privacy and security of individually identifiable health information and our clients’ ability to use our services.,,,,36606,,,ChIJL7dFrMlLmogRl0qmmy8AxwQ,,ASCP Certified,,,,False,False,info@genesistestingsolutionsllc.com,,English
American Red Cross,4.3,17.0,1004 Montezuma Ave,"Dothan, Alabama area",Dothan,Alabama,US,http://www.redcross.org/alabama/about/chapters/wiregrass,(334) 792-9852,Social services organization,https://www.google.com/maps/search/?api=1&query=American%20Red%20Cross&query_place_id=ChIJ7wJ9SEOSkogR6sZp2DMF6BU,No,Yes,National,"National blood donation organization, not a mobile phlebotomy service",http://www.redcross.org/content/dam/redcrossblood/rcb/icons-and-badges/facebook-icon.png.transform/282/q70/feature/image.png,http://www.redcross.org/content/dam/redcross/local/north-texas-/472601-16-Louisiana-Region-Shelter-Heroes-Social-Graphics-FINAL-D-800x533.jpg.img.jpeg,,"Alabama and Mississippi | American Red Cross                                   Skip to main content     Menu                  Hi,    Account Summary  Donation History  Personal Information  Sign Out     Sign In     Español       Shop the Red Cross Store     National Site              American Red Cross of Alabama and Mississippi    Locations   National Site  Other Regions   Find a Region    Search    Invalid Zip Code         About Us       About Our Region     Contact Us    Locations    Careers    Community Partners    Annual Giving Program       Our Work     Home Fire Campaign    Virtual Emergency Preparedness Programs    Year in Review    Videos for Kids: Hurricane Facts and Home Fire Facts    Shelter            Donate        Ways to Donate    Corporations & Foundations - Local Giving Opportunities    Give Blood    Donate a Vehicle    Fundraise for the Red Cross            Training & Certification        Take A Class            Volunteer        Volunteer Opportunities            Get Help        Get Help    How to Prepare for a Hurricane    Get Alexa-Enabled Hurricane Alerts                                      American Red Cross of Alabama and Mississippi    Locations   National Site  Other Regions   Find a Region    Search    Invalid Zip Code         About Us       About Our Region     Contact Us    Locations    Careers    Community Partners    Annual Giving Program       Our Work     Home Fire Campaign    Virtual Emergency Preparedness Programs    Year in Review    Videos for Kids: Hurricane Facts and Home Fire Facts    Shelter            Donate        Ways to Donate    Corporations & Foundations - Local Giving Opportunities    Give Blood    Donate a Vehicle    Fundraise for the Red Cross            Training & Certification        Take A Class            Volunteer        Volunteer Opportunities            Get Help        Get Help    How to Prepare for a Hurricane    Get Alexa-Enabled Hurricane Alerts                         Hi,    Account Summary  Donation History  Personal Information  Sign Out     Sign In     Español       Shop the Red Cross Store     National Site                          Donate Now           Donate Now                                                                          You Can Make a Difference  You Can Make a Difference    Your financial gift helps people affected by disasters big and small, whenever and wherever they occur across the country. Give Now                                American Red Cross of Alabama and Mississippi  The Alabama and Mississippi Region is comprised of 149 counties that are broken down into eight geographical Chapters – Central Alabama, Mid Alabama, North Alabama, South Alabama, West Alabama, Southwest Mississippi, Southeast Mississippi and North Mississippi.",,,,"39,507,352,233,880,100,000,000,000,000,000,000,000,000,000,000,000",,,ChIJ7wJ9SEOSkogR6sZp2DMF6BU,,CERTIFIED,,,,True,False,,,English
Lifesouth Community Blood Center,4.2,22.0,4139 Carmichael Rd,"Montgomery, Alabama area",Montgomery,Alabama,US,http://www.lifesouth.org/,(334) 260-0803,Blood donation center,https://www.google.com/maps/search/?api=1&query=Lifesouth%20Community%20Blood%20Center&query_place_id=ChIJY_WT-v_h-hQRNCwZ9Im-DOg,No,No,Southeast US,"Regional blood donation center, not mobile phlebotomy",http://www.lifesouth.org/wp-content/themes/lifesouth/assets/img/lifesouth-logo.svg,,,"Lifesouth Community Blood Centers                                                       Giving Blood  Back  What You Need to Know Become a Sickle Cell Hero Elite Donors Current Donor Recognition Gifts Donor FAQs Patient Stories Get Involved  Back  Host a Blood Drive Volunteer Opportunities Cord Blood Bank Community Foundation Specialist in Blood Banking Certificate Program For Schools LifeSouth Research Institute For Hospitals  Back  Patient Blood Management and Related Forms Laboratory Services Autologous, Directed & Therapeutic Services Hospital Notifications & Product Codes Accreditation & Licenses About Us  Back  Reports & Financial Information Our Supporters Brand Guidelines Who We Are Hospitals We Serve Accreditation & Licenses Contact Us Careers       Giving Blood   What You Need to Know  Become a Sickle Cell Hero  Elite Donors  Current Donor Recognition Gifts  Donor FAQs  Patient Stories    Get Involved   Host a Blood Drive  Volunteer Opportunities  Cord Blood Bank  Community Foundation  Specialist in Blood Banking Certificate Program  For Schools  LifeSouth Research Institute    For Hospitals   Patient Blood Management and Related Forms  Laboratory Services  Autologous, Directed & Therapeutic Services  Hospital Notifications & Product Codes  Accreditation & Licenses    About Us   Reports & Financial Information  Our Supporters  Brand Guidelines  Who We Are  Hospitals We Serve  Accreditation & Licenses    Contact Us  Careers                              Login      Donors    Hospitals         Host a Blood Drive  Find a Blood Drive  For Hospitals   Patient Blood Management and Related Forms  Laboratory Services  Autologous, Directed & Therapeutic Services  Hospital Notifications & Product Codes  Accreditation & Licenses           Select Page                             T-Shirt for All Blood Donors in September!  In September all blood donors receive a LifeSouth t-shirt. Are you at risk? Diabetes A1c testing is FREE with each LifeSouth blood donation!     Learn More                       Urgent Need for O Negative Blood Donors!  O- blood supplies at your local hospitals have reached critically low levels.",,,,32607,,,ChIJY_WT-v_h-hQRNCwZ9Im-DOg,,ASCP Certified,,,,True,False,contact@lifesouth.org,,English
VIPcare Mobile – Grelot Commons,5.0,20.0,6720 Grelot Rd Suite D,"Mobile, Alabama area",Mobile,Alabama,US,https://getvipcare.com/our-locations/mobile/?utm_source=GMB&utm_medium=digital&utm_campaign=Organic%20GMB,(251) 274-8957,Medical clinic,https://www.google.com/maps/search/?api=1&query=VIPcare%20Mobile%20%E2%80%93%20Grelot%20Commons&query_place_id=ChIJ77gZ93azm4gRvdOwovUUarM,No,No,"Mobile, Alabama","Fixed medical clinic location, not mobile phlebotomy",https://cdn.prod.website-files.com/6847a20e03a3627cf07f3cf2/686acec5b3153765b640862f_vipcare%20logo.svg,,,"VIPcare Mobile - Grelot Commons primary care clinic in Mobile, AL   Find a Clinic Schedule an Appointment   Explore VIPcare Have a question? 1-866-333-7897   Contact VIPcare HOW WE CARE Why VIPcare Our Services Patient Stories PATIENT RESOURCES VIPcare FAQs VIPcare Blog ABOUT VIPCARE Our Story Careers at VIPcare Refer a Friend Follow our updates on:                     Find a Clinic Locate a VIPcare clinic in your area today. The care you deserve is just a few clicks away! Schedule an Appointment Are you an existing patient? Enter Patient Portal   Patient Portals VIPcare Florida VIPcare ProHealth VIPcare Alabama VIPcare Georgia VIPcare Oklahoma VIPcare at Home Join the  VIPcare Team! Love Helping People? So Do We! Find your career   Find my Clinic Schedule an Appointment Find Care               Find a Clinic Locate a VIPcare clinic in your area today.",,,,36695,,,ChIJ77gZ93azm4gRvdOwovUUarM,,ASCP Certified,,,,False,False,,,English
