title,totalScore,reviewsCount,street,regions serviced,city,state,countryCode,website,phone,categoryName,url
Professional Phlebotomy Services,5,13,2108 Gateway Dr Ste E,,Opelika,Alabama,US,https://www.mobile-pps.com/,(334) 502-0023,Blood testing service,https://www.google.com/maps/search/?api=1&query=Professional%20Phlebotomy%20Services&query_place_id=ChIJe2TeCgTzjIgRMpNrEmXJMmE
T&G Medical Mobile Lab and Drug Screen LLC,5,195,3738 Opelika Rd B,,Phenix City,Alabama,US,https://tgmedicallab.com/,(706) 225-9384,Medical laboratory,https://www.google.com/maps/search/?api=1&query=T%26G%20Medical%20Mobile%20Lab%20and%20Drug%20Screen%20LLC&query_place_id=ChIJje08QgDPjIgRWJFzf8AAbeQ
Universal Medical Training Services,3,3,105 Main St,,Livingston,Alabama,US,http://universalmts.com/,(877) 919-8077,Training center,https://www.google.com/maps/search/?api=1&query=Universal%20Medical%20Training%20Services&query_place_id=ChIJCY5IUehMhIgREMa4ZxZFyWE
Pathway Clinical Institute,5,1,2675 Government Blvd,,Mobile,Alabama,US,http://www.pathwayci.com/,(251) 307-1722,Education center,https://www.google.com/maps/search/?api=1&query=Pathway%20Clinical%20Institute&query_place_id=ChIJHxe8jsZNmogRj5I_62Y6XgE
Synergy Laboratories,4.5,26,5570 Rangeline Rd,,Mobile,Alabama,US,https://www.synergylaboratories.com/,(251) 662-9760,Laboratory,https://www.google.com/maps/search/?api=1&query=Synergy%20Laboratories&query_place_id=ChIJtTmm4FlLmogRCb7PE_LzzO0
Sage Health,5,1,2318 St Stephens Rd,,Mobile,Alabama,US,https://sage.health/markets/mobile-al/,(251) 308-5689,Medical clinic,https://www.google.com/maps/search/?api=1&query=Sage%20Health&query_place_id=ChIJp4eHYDtRmogR6IUHDJvs5sQ
"Genesis Testing Solutions, LLC",5,6,1111 E Interstate 65 Service Rd S Suite 104,,Mobile,Alabama,US,http://www.genesistestingsolutionsllc.com/,(251) 206-5696,Drug testing service,https://www.google.com/maps/search/?api=1&query=Genesis%20Testing%20Solutions%2C%20LLC&query_place_id=ChIJL7dFrMlLmogRl0qmmy8AxwQ
American Red Cross,4.3,17,1004 Montezuma Ave,,Dothan,Alabama,US,http://www.redcross.org/alabama/about/chapters/wiregrass,(334) 792-9852,Social services organization,https://www.google.com/maps/search/?api=1&query=American%20Red%20Cross&query_place_id=ChIJ7wJ9SEOSkogR6sZp2DMF6BU
Lifesouth Community Blood Center,4.2,22,4139 Carmichael Rd,,Montgomery,Alabama,US,http://www.lifesouth.org/,(334) 260-0803,Blood donation center,https://www.google.com/maps/search/?api=1&query=Lifesouth%20Community%20Blood%20Center&query_place_id=ChIJY_WT-v_h-hQRNCwZ9Im-DOg
VIPcare Mobile – Grelot Commons,5,20,6720 Grelot Rd Suite D,,Mobile,Alabama,US,https://getvipcare.com/our-locations/mobile/?utm_source=GMB&utm_medium=digital&utm_campaign=Organic%20GMB,(251) 274-8957,Medical clinic,https://www.google.com/maps/search/?api=1&query=VIPcare%20Mobile%20%E2%80%93%20Grelot%20Commons&query_place_id=ChIJ77gZ93azm4gRvdOwovUUarM
