"name","contact_name","contact_email","phone","home_city","market_page","status","paying","tier","leads_received_90d","leads_claimed_90d","leads_booked_90d","leads_booked_all_time","slug"
"On Call Phlebotomy","","oncallphlebotomy@gmail.com","6199018400","San Diego, CA","San Diego, CA","VERIFIED","no","BASIC","28","0","0","2","on-call-phlebotomy-"
"Precision Care Services LLC","","info@precisioncareservices.com","7608853865","Lacey, WA","Seattle, WA","VERIFIED","no","BASIC","12","4","2","2","precision-care-services-llc"
"THE VEIN LUXE ACADEMY, LLC","","info@veinluxe.com","9518342432","Murrieta, CA","San Diego, CA","VERIFIED","no","BASIC","61","3","1","1","vein-vixens-llc"
"K & N Mobile Lab Services LLC","","k.nlabservices@gmail.com","3609514396","Lacey, WA","Seattle, WA","VERIFIED","no","BASIC","5","1","1","1","k-n-mobile-lab-services-llc"
"Phlebotomy In Motion","Silviann","silviann@phlebotomyinmotion.com","9514179868","Temecula, CA","San Diego, CA","VERIFIED","no","BASIC","3","1","1","1","phlebotomy-in-motion"
"San Diego Mobile Lab and Phlebotomy Inc.","","info@sandiegomobilelab.com","1(877) 462-0607","El Cajon, CA","San Diego, CA","VERIFIED","no","BASIC","12","2","0","0","san-diego-mobile-lab-and-phlebotomy-inc"
"HealthScope Labs","","contact@healthscopeaz.com","6029621714","Phoenix, AZ","Phoenix, AZ","VERIFIED","no","BASIC","10","0","0","0","healthscope-labs"
"Tree of Life Lab Group","","info@treeoflifelabgroup.com","6197012613","San Diego, CA","San Diego, CA","VERIFIED","no","BASIC","10","0","0","0","tree-of-life-lab-group-"
"ASB Mobile Phlebotomy Services","","info@asbmobilephlebotomyservices.com","844 527 2522","Cerritos, CA","San Diego, CA","VERIFIED","no","BASIC","8","0","0","0","asb-mobile-phlebotomy-services-"
"Mobile Phlebotomy Professionals LLC","Darlene","darlene@mobilephlebotomyprofessionals.com","","Fontana, CA","San Diego, CA","VERIFIED","no","BASIC","8","0","0","0","mobile-phlebotomy-professionals-llc"
"Direct Care Diagnostics","Ramon","Ramon.Tojos@directcarediagnostics.com","619-399-9057","San Diego, CA","San Diego, CA","VERIFIED","no","BASIC","5","0","0","0","direct-care-diagnostics"
"MD Lab Solutions","","Contact@MDLabSolutions.com","2066694171","Seattle, WA","Seattle, WA","VERIFIED","no","BASIC","5","0","0","0","md-lab-solutions"
"CardriazsoftstickmobilephlebotomyLLC","","mrskidd25@gmail.com","(623) 463-7145","Phoenix, AZ","Phoenix, AZ","VERIFIED","no","BASIC","3","0","0","0","cardriazsoftstickmobilephlebotomyllc"
"Mobile Labs and Wellness","","kyiab@mobilewlabs.com","480-885-6833","Phoenix, AZ","Phoenix, AZ","VERIFIED","no","BASIC","3","1","0","0","mobile-labs-and-wellness"
"On the Draw Mobile, LLC","","onthedrawmobile@gmail.com","2537542001","Tacoma, WA","Seattle, WA","VERIFIED","no","BASIC","3","0","0","0","on-the-draw-mobile-llc"
"Certified Lab services","","certifiedlabservices@gmail.com","4258795537","Everett, WA","Seattle, WA","VERIFIED","no","BASIC","2","0","0","0","certified-lab-services"
"Phlebotomist Home Service LLC","","phlebotomisthomeservicellc@drawsecure.com","7372470243","Austin, TX","Austin, TX","VERIFIED","no","BASIC","2","0","0","0","phlebotomist-home-service-llc"
"Butterfly Mobile Phlebotomy LLC","","c.ramirez.10@hotmail.com","7756717446","Maricopa, AZ","Phoenix, AZ","VERIFIED","no","BASIC","1","1","0","0","butterfly-mobile-phlebotomy-llc"
"Best Of Care Mobile Phlebotomy","","bestofcaremobilephlebotomy@hushmail.com","(509) 793-3069","Moses Lake, WA","Washington (state page)","UNVERIFIED","no","BASIC","0","0","0","0","best-of-care-mobile-phlebotomy"
"Comfort Pro Phlebotomy & Screening Resources","","christa@comfortprophleb.com","6236889986","Peoria, AZ","Phoenix, AZ","VERIFIED","no","BASIC","0","0","0","0","comfort-pro-phlebotomy-screening-resources"
"DRAW N ORDER LLC","","shauntay.bynum@drawnorder.org","260-261-2699","Round Rock, TX","Austin, TX","VERIFIED","no","BASIC","0","0","0","0","draw-n-order-llc"
"EDG Mobile Phlebotomy Services","","eddiegaviola@gmail.com","(858) 722-9036","San Diego, CA","San Diego, CA","UNVERIFIED","no","BASIC","0","0","0","0","edg-mobile-phlebotomy-services"
"Elite Diagnostic Draws","","ramosmelissa1972@gmail.com","8302979036","Uvalde, TX","San Antonio, TX","VERIFIED","no","BASIC","0","0","0","0","elite-diagnostic-draws"
"ELITE MOBILE PHLEBOTOMY SERVICES","","elitemobilephlebotomyservices@gmail.com","210-709-6643","San Antonio, TX","Austin, TX","VERIFIED","no","BASIC","0","0","0","0","elite-mobile-phlebotomy-services"
"North Sound Mobile Phlebotomy","","contact@northsoundmobilephlebotomy.com","3602179922","Granite Falls, WA","Seattle, WA","VERIFIED","no","BASIC","0","0","0","0","north-sound-mobile-phlebotomy"
"Touch of Texas Mobile Phlebotomy services","","klopez.touchoftexas@gmail.com","2102016553","Austin, TX","Austin, TX","VERIFIED","no","BASIC","0","0","0","0","touch-of-texas-mobile-phlebotomy-services"
"FDP Phlebotomy LLC","","fdpphlebotomy@gmail.com","4422072778","Fallbrook, CA","San Diego, CA","VERIFIED","yes","FOUNDING_PARTNER","15","3","2","2","fdp-phlebotomy-llc"
