url,type,state,city,active_providers,gsc_impressions,impressions_per_provider
/us/indiana,state,IN,"",4,2284,571.0
/us/south-dakota,state,SD,"",0,275,550.0
/us/pennsylvania/wilkes-barre,city (noindex),PA,"Wilkes-Barre",0,264,528.0
/us/washington/seattle,city,WA,"Seattle",11,5614,510.4
/us/arizona/phoenix,city,AZ,"Phoenix",10,4973,497.3
/us/north-dakota,state,ND,"",0,203,406.0
/us/west-virginia,state,WV,"",1,338,338.0
/us/oklahoma,state,OK,"",1,333,333.0
/us/new-hampshire,state,NH,"",0,159,318.0
/us/minnesota,state,MN,"",2,625,312.5
/us/washington,state,WA,"",14,4009,286.4
/us/wisconsin,state,WI,"",3,857,285.7
/us/nebraska,state,NE,"",0,109,218.0
/us/hawaii/honolulu,city (noindex),HI,"Honolulu",0,107,214.0
/us/vermont,state,VT,"",1,213,213.0
/us/maine,state,ME,"",2,422,211.0
/us/wyoming,state,WY,"",0,101,202.0
/us/nevada,state,NV,"",2,374,187.0
/us/oregon,state,OR,"",8,1328,166.0
/us/california/san-diego,city,CA,"San Diego",16,2569,160.6
/us/texas/edinburg,city,TX,"Edinburg",1,157,157.0
/us/texas/austin,city,TX,"Austin",7,1063,151.9
/us/texas/san-antonio,city,TX,"San Antonio",8,1097,137.1
/us/texas/laredo,city (noindex),TX,"Laredo",0,68,136.0
/us/utah,state,UT,"",2,264,132.0
/us/montana,state,MT,"",1,129,129.0
/us/iowa,state,IA,"",2,257,128.5
/us/rhode-island,state,RI,"",0,62,124.0
/us/kentucky,state,KY,"",11,1270,115.5
/us/hawaii,state,HI,"",2,216,108.0
/us/arkansas,state,AR,"",4,430,107.5
/us/new-york/rochester,city,NY,"Rochester",4,424,106.0
/us/new-mexico,state,NM,"",2,208,104.0
/us/alaska,state,AK,"",5,511,102.2
/us/new-york/syracuse,city,NY,"Syracuse",5,499,99.8
/us/washington/spokane,city,WA,"Spokane",2,195,97.5
/us/california/san-francisco,city,CA,"San Francisco",23,2108,91.7
/us/ohio,state,OH,"",28,2564,91.6
/us/missouri,state,MO,"",12,1010,84.2
/us/georgia/atlanta,city,GA,"Atlanta",23,1931,84.0
/us/massachusetts,state,MA,"",13,1054,81.1
/us/colorado,state,CO,"",7,559,79.9
/us/mississippi,state,MS,"",6,453,75.5
/us/south-dakota/sioux-falls,city (noindex),SD,"Sioux Falls",0,37,74.0
/us/north-carolina,state,NC,"",30,2129,71.0
/us/south-carolina,state,SC,"",18,1202,66.8
/us/kansas,state,KS,"",2,127,63.5
/us/delaware,state,DE,"",3,184,61.3
/us/california/visalia,city,CA,"Visalia",1,61,61.0
/us/michigan,state,MI,"",22,1338,60.8
/us/north-dakota/fargo,city (noindex),ND,"Fargo",0,30,60.0
/us/indiana/fort-wayne,city,IN,"Fort Wayne",3,179,59.7
/us/california,state,CA,"",87,5126,58.9
/us/illinois/chicago,city,IL,"Chicago",19,1109,58.4
/us/pennsylvania,state,PA,"",27,1571,58.2
/us/new-york/west-seneca,city (noindex),NY,"West Seneca",0,29,58.0
/us/texas/corpus-christi,city (noindex),TX,"Corpus Christi",0,28,56.0
