name,totalScore,reviewsCount,street,regions serviced,city,state,countryCode,website,phone,categoryName,url,is_mobile_phlebotomy,is_nationwide,verified_service_areas,validation_notes
Professional Phlebotomy Services,5,13,2108 Gateway Dr Ste E,,Opelika,Alabama,US,https://www.mobile-pps.com/,(334) 502-0023,Blood testing service,https://www.google.com/maps/search/?api=1&query=Professional%20Phlebotomy%20Services&query_place_id=ChIJe2TeCgTzjIgRMpNrEmXJMmE,Yes,No,Alabama (statewide),"Mobile phlebotomy service operating throughout Alabama. Offers blood collections, specialty kits, paternity collections. Starting at $50."
T&G Medical Mobile Lab and Drug Screen LLC,5,195,3738 Opelika Rd B,,Phenix City,Alabama,US,https://tgmedicallab.com/,(706) 225-9384,Medical laboratory,https://www.google.com/maps/search/?api=1&query=T%26G%20Medical%20Mobile%20Lab%20and%20Drug%20Screen%20LLC&query_place_id=ChIJje08QgDPjIgRWJFzf8AAbeQ,Yes,No,Alabama and Georgia,"Mobile lab and drug screening service. Offers phlebotomy, drug testing, DNA testing, fingerprinting. Has drive-thru testing. Serves AL and GA regions."
Universal Medical Training Services,3,3,105 Main St,,Livingston,Alabama,US,http://universalmts.com/,(877) 919-8077,Training center,https://www.google.com/maps/search/?api=1&query=Universal%20Medical%20Training%20Services&query_place_id=ChIJCY5IUehMhIgREMa4ZxZFyWE,Yes,No,Alabama,"Training center that also provides mobile phlebotomy services. Offers certification programs and mobile services for homes, facilities, businesses in Alabama."
Pathway Clinical Institute,5,1,2675 Government Blvd,,Mobile,Alabama,US,http://www.pathwayci.com/,(251) 307-1722,Education center,https://www.google.com/maps/search/?api=1&query=Pathway%20Clinical%20Institute&query_place_id=ChIJHxe8jsZNmogRj5I_62Y6XgE,No,No,"Mobile, Alabama","Education center/clinical institute, not a mobile phlebotomy service"
Synergy Laboratories,4.5,26,5570 Rangeline Rd,,Mobile,Alabama,US,https://www.synergylaboratories.com/,(251) 662-9760,Laboratory,https://www.google.com/maps/search/?api=1&query=Synergy%20Laboratories&query_place_id=ChIJtTmm4FlLmogRCb7PE_LzzO0,No,No,"Mobile, Alabama","Fixed laboratory location, not a mobile phlebotomy service"
Sage Health,5,1,2318 St Stephens Rd,,Mobile,Alabama,US,https://sage.health/markets/mobile-al/,(251) 308-5689,Medical clinic,https://www.google.com/maps/search/?api=1&query=Sage%20Health&query_place_id=ChIJp4eHYDtRmogR6IUHDJvs5sQ,No,Yes,Multiple states,"Medical clinic chain with multiple locations, not mobile phlebotomy"
"Genesis Testing Solutions, LLC",5,6,1111 E Interstate 65 Service Rd S Suite 104,,Mobile,Alabama,US,http://www.genesistestingsolutionsllc.com/,(251) 206-5696,Drug testing service,https://www.google.com/maps/search/?api=1&query=Genesis%20Testing%20Solutions%2C%20LLC&query_place_id=ChIJL7dFrMlLmogRl0qmmy8AxwQ,Yes,No,"Mobile, Alabama area","Drug testing service that offers mobile testing services in Mobile, AL area"
American Red Cross,4.3,17,1004 Montezuma Ave,,Dothan,Alabama,US,http://www.redcross.org/alabama/about/chapters/wiregrass,(334) 792-9852,Social services organization,https://www.google.com/maps/search/?api=1&query=American%20Red%20Cross&query_place_id=ChIJ7wJ9SEOSkogR6sZp2DMF6BU,No,Yes,National,"National blood donation organization, not a mobile phlebotomy service"
Lifesouth Community Blood Center,4.2,22,4139 Carmichael Rd,,Montgomery,Alabama,US,http://www.lifesouth.org/,(334) 260-0803,Blood donation center,https://www.google.com/maps/search/?api=1&query=Lifesouth%20Community%20Blood%20Center&query_place_id=ChIJY_WT-v_h-hQRNCwZ9Im-DOg,No,No,Southeast US,"Regional blood donation center, not mobile phlebotomy"
VIPcare Mobile – Grelot Commons,5,20,6720 Grelot Rd Suite D,,Mobile,Alabama,US,https://getvipcare.com/our-locations/mobile/?utm_source=GMB&utm_medium=digital&utm_campaign=Organic%20GMB,(251) 274-8957,Medical clinic,https://www.google.com/maps/search/?api=1&query=VIPcare%20Mobile%20%E2%80%93%20Grelot%20Commons&query_place_id=ChIJ77gZ93azm4gRvdOwovUUarM,No,No,"Mobile, Alabama","Fixed medical clinic location, not mobile phlebotomy"
NyWes Phlebotomy & Mobile Health Services LLC,2.6,5,2740 Central Pkwy #5,,Montgomery,Alabama,US,https://nywes.com/,(334) 233-1485,Medical clinic,https://www.google.com/maps/search/?api=1&query=NyWes%20Phlebotomy%20%26%20Mobile%20Health%20Services%20LLC&query_place_id=ChIJNWWQmP8qjIgRLvyh40--Krk,Yes,No,"Montgomery, Alabama area",Mobile phlebotomy and health services in Montgomery area
Safe Hands Phlebotomy LLC,3.7,3,3263 Demetropolis Rd Suite 9,,Mobile,Alabama,US,,(251) 263-0012,Surgical center,https://www.google.com/maps/search/?api=1&query=Safe%20Hands%20Phlebotomy%20LLC&query_place_id=ChIJ0z9pjwxNmogR9tFiuMOK_Ns,Yes,No,"Mobile, Alabama area","Mobile phlebotomy service in Mobile, AL"
Alaska Mobile Laboratory,4.5,4,"Mile Post 1314, Alaska Hwy #5",,Tok,Alaska,US,,(907) 883-4446,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Alaska%20Mobile%20Laboratory&query_place_id=ChIJy15-r6eJSlERKLCpyxRZ8sY,Yes,No,"Tok, Alaska area",Mobile laboratory services in Alaska
Valley Phlebotomy Service LLC.,3.4,9,951 Bogard Rd STE 102,,Wasilla,Alaska,US,https://www.facebook.com/Valley-Phlebotomy-Service-LLC-126436710743825/,(907) 376-6435,Drug testing service,https://www.google.com/maps/search/?api=1&query=Valley%20Phlebotomy%20Service%20LLC.&query_place_id=ChIJLWRoyD_eyFYRAa0a0K4znyc,Yes,No,"Wasilla, Alaska area",Mobile phlebotomy and drug testing in Wasilla area
"Northern Sky Phlebotomy Services, LLC",5,3,3327 Fairbanks St Unit E,,Anchorage,Alaska,US,,(907) 302-1674,Medical clinic,https://www.google.com/maps/search/?api=1&query=Northern%20Sky%20Phlebotomy%20Services%2C%20LLC&query_place_id=ChIJXbGHS0sfZY0RIrrsGWOH1Cg,Yes,No,"Anchorage, Alaska area",Women-owned mobile phlebotomy service in Anchorage
Northwest Phlebotomy School Anchorage,5,24,721 Depot Dr Suite 118,,Anchorage,Alaska,US,https://www.nwphlebotomyschool.com/,(360) 522-3226,Vocational school,https://www.google.com/maps/search/?api=1&query=Northwest%20Phlebotomy%20School%20Anchorage&query_place_id=ChIJQ7zrBC29yFYRRssXdrwL5u8,No,No,"Anchorage, Alaska","Phlebotomy training school, not a mobile service"
Northern Sky Mobile Phlebotomy Services,,0,624 W International Airport Rd,,Anchorage,Alaska,US,https://www.northernskymobilephlebotomy.com/schedule-mobile-phlebotomy-services,(907) 302-1674,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Northern%20Sky%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJ__8vjJKXyFYROOVMifXzQ5c,Yes,No,"Anchorage, Alaska area",Mobile phlebotomy service serving Anchorage area
ALS Geochemistry - Fairbanks,4.9,9,1060 Bush St,,Fairbanks,Alaska,US,https://www.alsglobal.com/en/geochemistry,(907) 452-2188,Laboratory,https://www.google.com/maps/search/?api=1&query=ALS%20Geochemistry%20-%20Fairbanks&query_place_id=ChIJ345pHyhFMlERMHDXePn8Z00,No,No,"Fairbanks, Alaska","Geochemistry laboratory, not mobile phlebotomy"
"Mobile Phlebotomy Arizona, LLC",5,1,455 N Mesa Dr Suite 16B,,Mesa,Arizona,US,http://www.mobilephlebotomyarizona.com/,(480) 565-7621,Medical group,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Arizona%2C%20LLC&query_place_id=ChIJRdKb2SenK4cRIipWqf9JRxs,Yes,No,Arizona statewide,"Mobile phlebotomy serving Phoenix metro, Tucson, Flagstaff, Sedona and surrounding areas. 24/7 service by appointment"
XtreamVein Mobile Phlebotomy,5,7,"Floors 1&2, 3707 E Southern Ave",,Mesa,Arizona,US,https://xtreamvein.com/,(480) 577-9373,Home health care service,https://www.google.com/maps/search/?api=1&query=XtreamVein%20Mobile%20Phlebotomy&query_place_id=ChIJlxRdz9WvK4cRXRFPM0OdLWI,Yes,No,"Mesa/Queen Creek, Arizona area","Mobile phlebotomy service with 20+ years experience. RPT-AMT certified phlebotomist specializes in difficult draws, NICU/Pediatric, and special needs patients. Partners with Labcorp and Sonora."
Ideal Mobile Lab Services LLC,5,9,Phoenix Metro,,Phoenix,Arizona,US,http://www.idealmobilelabservices.com/,(623) 272-0832,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Ideal%20Mobile%20Lab%20Services%20LLC&query_place_id=ChIJZ8kttEgTK4cReQx4wyBJ0LY,Yes,No,"Phoenix, Arizona metro area","Mobile phlebotomy with CMLA certified phlebotomist having 10 years experience. Offers blood, urine, stool samples, COVID testing, addiction management. Serves Phoenix metro area."
"PediaLabs, LLC",5,308,4653 S Lakeshore Dr #1,,Tempe,Arizona,US,http://mypedialabs.com/,(480) 395-3972,Laboratory,https://www.google.com/maps/search/?api=1&query=PediaLabs%2C%20LLC&query_place_id=ChIJdxGubxcHK4cR8y_IeqBOuwY,Yes,No,"Maricopa and Pinal counties, Arizona","Specialty mobile phlebotomy focusing on pediatric and special circumstances. Serves children, autism, and anxiety patients. Travel to homes/offices in Maricopa and Pinal counties starting at $115."
